id,created_at,text
943983462448533505,2017-12-21 23:16:10,b'RT @mombetsu_land: \xe3\x81\x84\xe3\x82\x8d\xe3\x82\x93\xe3\x81\xaa\xe3\x83\x9d\xe3\x83\xbc\xe3\x82\xba\xe3\x81\xa7\xe3\x81\x8a\xe8\x85\xb9\xe3\x82\x92\xe3\x81\x9f\xe3\x81\x9f\xe3\x81\x84\xe3\x81\xa6\xe3\x81\x8f\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\n\nby\xe3\x82\xa2\xe3\x82\xb6\xe3\x83\xa9\xe3\x82\xb7\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\x91\xe3\x83\xa9\xe3\x83\x80\xe3\x82\xa4\xe3\x82\xb9 https://t.co/6z0DELEBxZ'
943911060859432960,2017-12-21 18:28:28,b'RT @Somesteez: IF SHE BREATHES SHES A THOOOOOT \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Wlqjskuuqk'
943686999655018496,2017-12-21 03:38:08,b'RT @BotDookie: ebola fell off'
943334385201315840,2017-12-20 04:16:58,b'@TheRealChazHook MANY'
943325872546893830,2017-12-20 03:43:08,b'they rly let Disney writers do the script for Episode VIII huh'
943243515806584832,2017-12-19 22:15:53,b'RT @HulkHogan: HH'
943172158766886912,2017-12-19 17:32:20,b'RT @sirjoancornella: https://t.co/Q9SlutuExi https://t.co/JRtu7bYgYK'
943165688214147072,2017-12-19 17:06:37,b'RT @NVIDIAGeForceUK: #GTXmas Day 4!\n\nWin a EVGA GTX 1080 Ti FTW3 Elite Gaming Edition graphics card with iCX technology!\n\nTo Enter:\n\xe2\x9e\xa1\xef\xb8\x8f Foll\xe2\x80\xa6'
943151085350506497,2017-12-19 16:08:36,b'RT @HulkHogan: That\xe2\x80\x99s the real\xe2\x80\x9dIchiban Power Knee\xe2\x80\x9d direct blow to Andres face!!   Brother HH https://t.co/p8c4WodJAB'
942896542599479296,2017-12-18 23:17:08,b'RT @41Strange: The Art of Japanese manga artist Shintaro Kago https://t.co/zfVu4vUaCb'
942816950828269568,2017-12-18 18:00:52,b'just want some1 to love me like Connor Fiolek loves LeBron'
942536970479263744,2017-12-17 23:28:19,b'https://t.co/QwMkSfidrn'
942404118483820544,2017-12-17 14:40:25,b'RT @MyFavsTrash: https://t.co/5e7tI7Gz2F'
942403580279042048,2017-12-17 14:38:17,"b'RT @NVIDIAGeForceUK: #GTXmas Day 2 Giveaway!\n\nWIN an epic MSI Bundle! Includes: GTX 1080 Ti, Z299M GAMING PRO CARBON AC, Clutch GM60 Gaming\xe2\x80\xa6'"
942390466502447104,2017-12-17 13:46:10,b'RT @SonicDahMario: https://t.co/TvyJfth42b'
942279417224744960,2017-12-17 06:24:54,b'RT @tricolorm5: @MajinDookie Bro was dressed like his music'
942278048866619392,2017-12-17 06:19:28,b'RT @MajinDookie: so u just gon play brockhampton in front of my son'
942188644869312513,2017-12-17 00:24:12,"b'RT @NVIDIAGeForceUK: #GTXmas Day 1 giveaway!\n\nWIN an #Ultimate4K Ready PC! Includes: GTX 1080 Ti, i7-8700k, 32gb RAM, Green liquid cooling\xe2\x80\xa6'"
942181759109693441,2017-12-16 23:56:50,"b'RT @RUCKlN: \xe2\x80\x9cIf a man does not have the sauce, then he is lost. But the same man can be lost in the sauce.\xe2\x80\x9d -Gucci Mane https://t.co/kDDYWY\xe2\x80\xa6'"
941709005352767488,2017-12-15 16:38:17,b'RT @EMlNEMOBAMA: https://t.co/kjdy5K90zR'
941693309155725312,2017-12-15 15:35:55,b'RT @AMAZlNGNATURE: Licks vs. noms https://t.co/tElDb9BbBP'
941542962810499072,2017-12-15 05:38:30,b'RT @Iazyboy: https://t.co/97FPDUJG3q'
941442763027042304,2017-12-14 23:00:20,"b'RT @LatestAnonNews: FCC chairman @AjitPaiFCC along with @BrendanCarrFCC, and @mikeofcc failed the people and voted for big corporations.\n\nA\xe2\x80\xa6'"
941063284089909250,2017-12-13 21:52:25,"b""RT @almacollege: Happy Tuesday to all of our Scots \xe2\x80\x94 including our newest follower,  @LILBTHEBASEDGOD, who is a #FutureScot! Can't wait to\xe2\x80\xa6"""
940949431100366848,2017-12-13 14:20:01,b'https://t.co/2Cjar3eiEt'
940860059747323904,2017-12-13 08:24:53,b'https://t.co/BGu3KVOKA0'
940855048568999936,2017-12-13 08:04:58,b'https://t.co/rTEsOHvcn1'
940823100735868933,2017-12-13 05:58:01,b'https://t.co/VPDDdnXApS'
940773379535228928,2017-12-13 02:40:27,b'@nataliekeaa payed Eli $20 to peer edit'
940758664452956160,2017-12-13 01:41:58,b'2D waifus crafted without flaw unlike humans'
940756490180284417,2017-12-13 01:33:20,"b""can't wait 2see Mrs. Incredible onthe big screen"""
940730803247513602,2017-12-12 23:51:16,b'RT @FatKidDeals: A Backwoods Jersey. \n\nOver 250 Sold. \n\n$16.25\n\nhttps://t.co/InxX8Axcaz https://t.co/DRtDfk4NYz'
940691804135084032,2017-12-12 21:16:17,"b""@ESPNDeportes989 It's not up to the public tho that's the problem. 5 FCC members are casting the vote n that's it.\xe2\x80\xa6 https://t.co/AVpeOSe4ME"""
940678495348383745,2017-12-12 20:23:24,b'goodmorning https://t.co/OXhRD1uGeY'
940677237577342976,2017-12-12 20:18:25,b'takes 2 minutes https://t.co/QsmpkXiBcZ'
940674750476668928,2017-12-12 20:08:32,"b'hate taking politics seriously but y\'all rly gotta text ""RESIST"" to 50409 if you enjoy unrestricted and uncensored\xe2\x80\xa6 https://t.co/2T8jupoyov'"
940673321385054208,2017-12-12 20:02:51,"b'RT @Chasekinggg: This is Keaton Jones, he lives in Knoxville and he has a little something to say about bullying. https://t.co/QHpBV9IhXn'"
940465314898292736,2017-12-12 06:16:18,b'RT @iucipur: if u look like this DM me https://t.co/ioIND2uPZm'
940433904359694336,2017-12-12 04:11:29,b'RT @okzacb: Brave bullied boy shares heart-wrenching account of mistreatment at the hands of his peers https://t.co/7WyJSstdGZ'
940319921719926785,2017-12-11 20:38:34,b'general twitter rule do not ever click on a video of some1 sitting in the passenger seat of a car'
940317769375109121,2017-12-11 20:30:01,b'hey I bet my kid gets bullied more than your kid'
940310749502689280,2017-12-11 20:02:07,b'RT @skrongmeat_: runnin wit da sack WOO Keaton\xe2\x80\x99s mom'
940263444477104128,2017-12-11 16:54:09,b'1st kid to get bullied ever https://t.co/ecrHlsJmYE'
940117009286750208,2017-12-11 07:12:16,b'bless Danny Brown https://t.co/rupDVbU8rP'
940014575172374530,2017-12-11 00:25:14,b'RT @killmefam: crazy how god left us on read'
940002228445827072,2017-12-10 23:36:10,b'RT @_KrypticElement: Fortnite in a nutshell https://t.co/NEB3dRE3wR'
939303622143303680,2017-12-09 01:20:09,b'pls no https://t.co/kaASofjeYn'
939271543598862336,2017-12-08 23:12:41,b'RT @tatummoleski: The STEM majors and the non STEM majors need to put aside their differences and unite to take down the real enemy- the bo\xe2\x80\xa6'
939230088721321985,2017-12-08 20:27:57,b'RT @detnewsRodBeard: That ball is not a teller of fibs.'
939027553670512641,2017-12-08 07:03:09,b'https://t.co/A3asSVZ5qJ'
939012139213139970,2017-12-08 06:01:54,b'Go Go Gadget Dopamine'
938630631340281856,2017-12-07 04:45:56,b'https://t.co/275Mnsfoa8'
938630079055265792,2017-12-07 04:43:44,b'RT @LILBTHEBASEDGOD: If you say a bird is dumb how smart are you - Lil B'
938467304299548672,2017-12-06 17:56:55,b'stepping outside to power hit the vape between classes'
938197627472171008,2017-12-06 00:05:19,b'\xf0\x9f\x98\xac https://t.co/6xUMZoUtcY'
937858755466874882,2017-12-05 01:38:46,b'RT @Chainbody: u Look weary Brave traveler  would u fancy a sip of my holy elixir https://t.co/84mfRDzVXn'
937809989200240641,2017-12-04 22:24:59,b'RT @DEADBWOYANDY: is this really yalls favorite rap group https://t.co/8a5L1eIbr1'
937776354019471360,2017-12-04 20:11:20,"b'RT @emilykateredmo2: Call me sensitive all ya want, but as someone who was once a ""punching bag"".. Not really laughing. \xf0\x9f\x98\x85 can you really ca\xe2\x80\xa6'"
937761431168147456,2017-12-04 19:12:02,"b""can't wait 2own a punching bag when I get older aka my wife"""
937727891848290304,2017-12-04 16:58:46,b'RT @MarsinCharge: It\xe2\x80\x99s time to bring my favorite holiday meme back https://t.co/xvOKYf8DaH'
937479953385484288,2017-12-04 00:33:33,b'RT @Namastaywoke: Them robots comin for EVERYBODY job  https://t.co/sHYVt88Zta'
937464541675446275,2017-12-03 23:32:18,b'RT @dirtydickdogdan: I found it \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t.co/6FRX2AdBH1'
936804668910403585,2017-12-02 03:50:12,"b""Weekend Wars was MGMT's best song donut @"""
936803985121361922,2017-12-02 03:47:29,b'https://t.co/HwQ7YD7Dzt'
936771133977780226,2017-12-02 01:36:57,b'RT @felinevideos: https://t.co/nSb2BjLjGv'
936704982681882624,2017-12-01 21:14:05,b'RT @xxxtentacion: @YungSkiMask I miss u stokeley pokely'
936650191817641986,2017-12-01 17:36:22,b'RT @Curtintail: https://t.co/EcSdKy7lmk'
936619896900935681,2017-12-01 15:35:59,"b""I Will Use This Box To Smother My Son In He's Sleep And Use His Lifeless Flesh As My Tissue https://t.co/GWjgn6VB3b"""
936476643014643712,2017-12-01 06:06:45,b'RT @BasedNas: Kendrick: And if I die before your album drops I ho-*gun shots*\n\nMe: https://t.co/l9pgY5mfcT'
936474558227415040,2017-12-01 05:58:28,"b""RT @gucci1017: Don't get lost in the sauce"""
936441366212734976,2017-12-01 03:46:34,b'I love the sweet sight of tender juicy feet as much as any man but dawg THEY SMELL LIKE THE MUD BOG..SMELL LIKE BEA\xe2\x80\xa6 https://t.co/loeUoL0DxF'
936440178905964547,2017-12-01 03:41:51,b'YOU KNOW THE BOTTOM OF HER UGGS BUILT LIKE A SWAMP IF SHE NOT WEARING SOCKS..TOES LIVIN LIKE SHREK AND FIONA..LUKE\xe2\x80\xa6 https://t.co/zyXA9hwvbJ'
936439639157637120,2017-12-01 03:39:42,b'AHHHHHH https://t.co/lESUlXJkTk'
