id,created_at,text
912876065776906240,2017-09-27 03:06:29,b'\xef\xbc\xaf(\xe2\x89\xa7\xe2\x96\xbd\xe2\x89\xa6)\xef\xbc\xaf'
834580118026801154,2017-02-23 01:46:20,b'@_kyla98 hey urs is pretty cool too \xf0\x9f\xa4\x97'
834557577501536257,2017-02-23 00:16:46,b'Missed my exam by two days lmfaoooo'
796208098595799040,2016-11-09 04:29:38,"b""RT @TIME: Canada's immigration and citizenship website has crashed https://t.co/tRjyBSCSiX"""
774426901087653889,2016-09-10 01:58:56,"b""While everyones passed out drunk on the streets I'll be passed out in the library \xf0\x9f\x98\x8f\xf0\x9f\x98\x8f\xf0\x9f\x98\x8f"""
771920302855028736,2016-09-03 03:58:36,b'Love it when drunk people come into my dorm'
761675154967572480,2016-08-05 21:28:02,"b""Can't believe the flight didn't serve Mike's #triggered #sober"""
758116939671756800,2016-07-27 01:48:58,"b""Have ya'll heard chill bill"""
752017398086197249,2016-07-10 05:51:34,b'RT @kasssuba: hmmm\xf0\x9f\xa4\x94'
752017382483386369,2016-07-10 05:51:30,b'RT @LiveLoveHarambe: hmmm \xf0\x9f\xa4\x94'
752017375109709824,2016-07-10 05:51:28,b'RT @ConWare: hmmm \xf0\x9f\xa4\x94'
752017356839419904,2016-07-10 05:51:24,b'RT @JohnMcCarthy07: hmmm\xf0\x9f\xa4\x94'
752017164937363456,2016-07-10 05:50:38,b'hmmm\xf0\x9f\xa4\x94'
751923113613492224,2016-07-09 23:36:54,b'RT @sydneeyanderson: hmm'
750580166024425473,2016-07-06 06:40:31,b'On that 3 AM sleep schedule #killme #suicide #StandWithHarambe'
746542419349483520,2016-06-25 03:15:57,b'Eating cereal at night just feels right'
731604098223603712,2016-05-14 21:56:24,"b'""how old do u have to be to get a gun"" - Muhammed Ugur'"
708511537653276673,2016-03-12 04:34:48,"b'Pizza bagels and danimals, lit af'"
705791026443718656,2016-03-04 16:24:28,"b'@AdamZainea hey man, have a stellar birthday!'"
699322816110465024,2016-02-15 20:02:06,"b'I hate the cold, I hate snow, I hate winter'"
688870262159335428,2016-01-17 23:47:23,"b""I mean we should've had this day off anyways.."""
685292180487991296,2016-01-08 02:49:22,b'Senior year feels so pointless'
677597520516792320,2015-12-17 21:13:32,"b""Once you eat Pizza Bagels, there's no going back to Pizza Rolls"""
663538401652666368,2015-11-09 02:07:37,"b""@rachelmachuta isn't this a compliment?"""
663533155970916352,2015-11-09 01:46:46,b'Pears are such an underrated fruit'
663089683518373889,2015-11-07 20:24:34,"b'RT @jkea_: CONNOR ""THE CLUTCH"" FIOLEK'"
660590845964480512,2015-10-31 22:55:05,b'Just splashed a kid while driving..'
658750546195709953,2015-10-26 21:02:23,b'I hate the song Downtown with a passion'
657624679633584128,2015-10-23 18:28:36,"b'New Harry Potter sequel, leggo'"
654278790227619840,2015-10-14 12:53:14,"b""Why doesn't alcohol and calculus mix? Because you can't drink and DERIVE #Cresswellcalc"""
647006400749678592,2015-09-24 11:15:21,"b""RT @jkea_: Didn't have to be at school until 12 because of the delay, but guess who signed up to work the blood drive at 6am \xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba\xe2\x98\xba"""
553499985875329025,2015-01-09 10:34:14,"b'RT @jverlegermphs: The Mt Pleasant Public Schools are closed today, Friday, January 9, 2015. Please travel safely.'"
553155837364293632,2015-01-08 11:46:43,"b""RT @jkea_: The whole not-doing-homework-because-I'm-banking-on-a-snow-day hasn't really worked out for me this week \xf0\x9f\x98\x90"""
548963665018617856,2014-12-27 22:08:31,"b""Wendy's is honestly under appreciated #bringitback"""
548544263601283072,2014-12-26 18:21:58,b'Gotta love Christmas noobs in CoD'
548264285739425792,2014-12-25 23:49:26,b'@_kyla98 @meanpIastic she looks older than me.. That has to be a lie'
547127336563261440,2014-12-22 20:31:36,b'I just saw a dinosaur give birth to a chicken...... Oh my gosh'
545736212695113728,2014-12-19 00:23:47,b'I give a big middle finger to this APUSH Project and English essay'
544650354043150336,2014-12-16 00:28:58,b'Junior year killed all my motivation for school'
535986425389645824,2014-11-22 02:41:36,b'Gotta hate the guy at the movie theaters with the obnoxious laugh'
532161285732196352,2014-11-11 13:21:52,b'Happy Birthday JB @LiLCBaller23!'
519303202391736320,2014-10-07 01:48:26,b'fun run brings out the worse in people'
512970995381325825,2014-09-19 14:26:30,b'just heard some freshman talk about not knowing what classic hip hop is.. #godsaveus'
512408699064053760,2014-09-18 01:12:08,b'Holes has to be my favorite Disney movie'
509467339294015488,2014-09-09 22:24:13,"b'""I\'d rather hug a teddy bear than a toothpick"" - Jack Kea'"
506493994931879936,2014-09-01 17:29:13,"b""@LiLCBaller23 thanks JB I'm a big fan :)"""
506486497126916096,2014-09-01 16:59:25,b'@treycase007 ayyy thanks trey!'
506485522395836416,2014-09-01 16:55:33,b'@jkea_ haha u a funny guy thanks bud'
506482455185203200,2014-09-01 16:43:21,b'@JohnMccarthy07 thanks little boy :)'
504817720492576768,2014-08-28 02:28:18,b'Gotta appreciate that High School Musical #Wildcat4lyfe'
504064365684092928,2014-08-26 00:34:44,"b""I'm honestly considering procrastinating that APUSH assignment on the day of school"""
501180488837771264,2014-08-18 01:35:14,b'yellow starbursts will always be the best flavor'
498852573492039680,2014-08-11 15:24:56,b'@dankeller25 ayyy happy birthday Bro!'
497205831033958402,2014-08-07 02:21:22,b'Do you people tell people side bae?'
495371435188453376,2014-08-02 00:52:08,b'I wish radio stations would stop playing the same songs over and over again'
493917667779411969,2014-07-29 00:35:23,b'that new hobbit trailer though #hyped'
490540062086406145,2014-07-19 16:53:59,b'some black guy just asked me if I was thai..'
479066683697401856,2014-06-18 01:02:52,"b""I'm watching camp rock 2 rn.. my life has hit an all time low"""
478963419635535872,2014-06-17 18:12:32,"b""This ACT prep class feels like I'm in middle school"""
478685324369870848,2014-06-16 23:47:29,b'LETS GO'
478658657320595456,2014-06-16 22:01:31,b'I BELIEVE'
478626672980156416,2014-06-16 19:54:25,b'@Hkrepost G.'
477999694837481472,2014-06-15 02:23:02,b'Wtf Japan..'
477846766331514880,2014-06-14 16:15:21,"b'summer vacation = pop tarts, hot pockets, pizza rolls'"
477608098333331456,2014-06-14 00:26:58,b'RIP my pride'
477551587565387776,2014-06-13 20:42:25,"b""my mom is scolding Spain because they're sucking so bad.. #RIPSpain2014"""
472209258499825666,2014-05-30 02:53:55,b'RT @TheFunnyVines: Me before every test http://t.co/hT6yVtN3M8'
471668586537177089,2014-05-28 15:05:28,"b'""I\'d rather be dumb than smart"" - Connor Fiolek'"
468541072084176896,2014-05-19 23:57:51,b'Spanish is so challenging with Lowrey #thestruggleisreal'
465146984555233280,2014-05-10 15:10:57,b'@jorgeporge happyyy birthdaaayy!!'
461129995968991234,2014-04-29 13:08:53,b'@AmishJackers go hop on that charmander bandwagon'
461129020692639744,2014-04-29 13:05:00,b'why does bulbasaur always get so much hate #beststarter'
459081374998474752,2014-04-23 21:28:23,b'the amount of trash talk my mom says about me when I talk to her'
456472437828239360,2014-04-16 16:41:24,"b'""@TIME: See how the new SAT will test vocabulary http://t.co/i42cEHXNkC""t thank you god.'"
455723158440800257,2014-04-14 15:04:02,b'happy birthday @rachelmachuta !!'
455148244666818561,2014-04-13 00:59:32,b'the sound of rain is so soothing'
450789638622691329,2014-04-01 00:19:59,"b'""Yoohoo! Big summer blow out!""  #bestqoute'"
447788758608277505,2014-03-23 17:35:34,b'happy birthday!!! @lindseyhood97'
447006840254390272,2014-03-21 13:48:30,b'@lexistrope happy birthdaaayy!!'
446436424523743232,2014-03-20 00:01:52,"b""can't wait to watch the maze runner"""
445240281630515200,2014-03-16 16:48:49,"b""Japan's mascot for the fifa world cup is pokemon #doingitright"""
444076466028822529,2014-03-13 11:44:14,b'civics is such a depressing class'
443766383218675712,2014-03-12 15:12:05,b'happy birthday!! @EricaLybeer'
441283659958472704,2014-03-05 18:46:37,b'law class is unbelievably boring'
440857125720322048,2014-03-04 14:31:44,"b""to my bud @AdamZainea.. Eid Milad sa'aid!"""
440322007419219968,2014-03-03 03:05:22,b'Oscars &gt;&gt; studying for exams'
439398807701184513,2014-02-28 13:56:54,b'it feels like Christmas now that math is over #hallelujah'
437761001174204416,2014-02-24 01:28:50,"b""@kylemonty12 don't worry bud it's the effort that I put in that matters the most"""
436889648703741953,2014-02-21 15:46:23,b'@treycase07 happy birthday buddy!'
428240899349311488,2014-01-28 18:59:21,b'@hannahkahn9 happy birthday Hannah :)!!'
427859428516171776,2014-01-27 17:43:31,b'@jakemogg9 happy birthday my boyyy!!'
422540655319973888,2014-01-13 01:28:37,b'Math homework should seriously be for extra credit only'
418942844590510080,2014-01-03 03:12:12,"b""You know your social life has gone downhill if you're watching a penguin documentary #thatsme"""
418669508958490624,2014-01-02 09:06:04,b'4 AM is the new 11 PM'
417330177459240960,2013-12-29 16:24:02,"b'RT @TVSecrets: Awesome idea for a ""This Is The End"" sequel http://t.co/gekM6ccKNr'"
415597161170993152,2013-12-24 21:37:39,"b'The amount of times they say the word ""dreams"" in inception #toomuch'"
414543276159401984,2013-12-21 23:49:53,b'I love seeing presents under the Christmas tree'
414174916414431232,2013-12-20 23:26:09,b'I hate putting on the wrong cap for my soda at the movies #chinkeyes'
413703481745477632,2013-12-19 16:12:50,b'Chess is such an intense game'
412944882131402752,2013-12-17 13:58:26,"b""I don't understand why teacher would assign homework over the break"""
412431114515787776,2013-12-16 03:56:54,b'Craving some late night pizza'
412361817717870593,2013-12-15 23:21:33,b'I hate the cold.'
412036381712457729,2013-12-15 01:48:23,b'Cooking chicken without rice should be considered a sin'
410110027262095360,2013-12-09 18:13:44,"b'""Harvard doesn\'t ask you, you ask Harvard""  - Michael Roehmer'"
409374707201216512,2013-12-07 17:31:50,b'Rebecca black made a sequel to Friday?  #why'
408764280331198464,2013-12-06 01:06:13,b'http://t.co/S27FjZADN1'
406935253412900864,2013-11-30 23:58:19,b'The only thing I did this thanksgiving break was put up my Christmas tree #nosociallife'
403741599277936640,2013-11-22 04:27:53,"b""Man I'm gonna laugh when English is the one class that's going to screw me over"""
403178924764848128,2013-11-20 15:12:01,b'Extra credit boosting my grade by 5 percent #winning'
403001267384885248,2013-11-20 03:26:04,b'Finishing that creative writing &gt;&gt;&gt;'
402969449931603968,2013-11-20 01:19:38,b'having the xbox one released this week and having exams #stressed'
402431715563413504,2013-11-18 13:42:52,b'Happy birthday my fellow African American @DamonAnderson23!'
402236731690192896,2013-11-18 00:48:04,b'Exams are seriously tests meant to fail you'
400989613550223360,2013-11-14 14:12:28,"b'""let\'s assign a ton of problems on the homework that\'s not going to be on the quiz!"" #mathlogic'"
400415982264406016,2013-11-13 00:13:04,"b""Connor Fioleks new nickname I'd cuatro Gatos #thetruth"""
400307545681559552,2013-11-12 17:02:10,b'Mr.  Klak called my essay basic...'
398812056687624194,2013-11-08 13:59:38,"b""@AmishJackers what about chemistry bud?  You'll wreck that one!"""
398807116791558144,2013-11-08 13:40:00,"b""Man if I'm struggling with writing 2000 words for a creative writing essay I'm going to be so screwed for college"""
398437827832074240,2013-11-07 13:12:35,b'Creative writing is so lame..'
398229558840659969,2013-11-06 23:25:00,b'250k stimulus package on Gta came out today #mademyday #nerd4lyfe'
395882707890487296,2013-10-31 11:59:27,b'@AdamZainea yea dude it just makes me wanna eat all the cats now!'
